name,release_date,price,positive,negative,app_id,min_owners,max_owners,hltb_single
VReakout,"Jul 13, 2016",7.99,5,1,458110,0,20000,
Loop Hero,"Mar 4, 2021",14.99,26961,1817,1282730,1000000,2000000,28.0
Bomb Royale,"Dec 12, 2018",4.99,60,42,604150,20000,50000,
"Just Sleep - Meditate, Focus, Relax","Jun 29, 2019",1.99,16,4,1093150,0,20000,
Road To Adventure!,"Apr 10, 2021",0.99,4,0,1499980,0,20000,
3DCoat Modding Tool,"Feb 27, 2018",29.99,36,7,776920,0,20000,
The Watson-Scott Test,"Oct 19, 2018",4.99,430,214,955060,20000,50000,1.0
Haunted Nightmares,"Feb 4, 2021",2.99,5,0,1519650,20000,50000,
Fractal Alchemist,"May 27, 2020",9.99,23,3,1318030,0,20000,
Drawn to Life: Two Realms,"Dec 7, 2020",9.99,102,110,1378070,20000,50000,7.0
Time Loader,"Nov 3, 2021",14.99,195,21,1301950,100000,200000,2.0
The king is gone,"Dec 15, 2020",2.99,0,1,1468820,0,20000,
Gallic Wars: Battle Simulator,"Oct 30, 2020",4.99,12,13,1067760,0,20000,
Failling Capsule,"Oct 11, 2021",0.99,0,1,1751160,20000,50000,
From Shadows,"Aug 10, 2017",0.49,21,16,582920,50000,100000,
Blue Crystal,"May 1, 2019",14.99,0,1,556200,0,20000,
Infinite Cube Defense,"Sep 24, 2021",1.99,2,0,1723400,0,20000,
Adventure Minesweeper,"Oct 9, 2020",0.99,3,2,1422810,0,20000,
Saloon Showdown VR,"Oct 10, 2017",0.99,29,3,695660,0,20000,
Gnome Light,"Jul 31, 2017",0.99,5,14,682350,20000,50000,
Angels of Death Episode.Eddie,"May 21, 2020",6.99,268,28,1321230,0,20000,1.0
Musashi vs Cthulhu,"Jan 14, 2020",3.99,24,3,956310,0,20000,
失落的地下城 Lost Dungeon,"Jul 18, 2019",2.99,6,0,1069120,0,20000,1.0
Tengutana,"Oct 26, 2017",1.99,15,4,630070,0,20000,
Wild Terra 2: New Lands,"Jan 28, 2021",34.99,715,505,1134700,50000,100000,
Exterminator,"Apr 5, 2017",2.99,3,1,597670,0,20000,
Blue Fox,"Mar 13, 2020",2.99,5,3,1253720,0,20000,
My Big Sister,"Nov 9, 2018",2.99,442,32,733300,0,20000,3.0
Z1 Battle Royale: Test Server,"Feb 24, 2016",0.0,1312,1182,439700,5000000,10000000,
White Paper,"Jul 12, 2022",19.99,37,0,2021220,0,20000,
Natural - Beyond Nature -,"Dec 12, 2016",5.99,19,5,545400,0,20000,
Devil's Hunt,"Sep 17, 2019",14.99,328,490,887720,50000,100000,6.0
Exotic,"Jan 10, 2022",3.99,2,10,1682530,0,20000,
One Bit Arena,"Mar 16, 2018",2.99,24,1,803270,0,20000,
Time Break,"Apr 26, 2019",0.0,51,23,1056860,0,20000,
BombSweeperVR,"Jan 25, 2022",9.99,1,1,1865590,0,20000,
Gun Beat,"Jan 14, 2019",6.99,8,3,1000990,0,20000,
Manaya,"May 25, 2018",2.99,13,1,810000,0,20000,
Azurea Juncture,"Nov 15, 2016",4.99,15,1,557860,0,20000,
Ultrawings,"Jul 20, 2017",7.49,344,44,639130,0,20000,8.0
Delicious - Emily's Home Sweet Home,"Dec 15, 2016",12.99,75,5,561000,0,20000,15.0
Snow Jewels,"May 30, 2019",4.99,20,8,1083430,0,20000,
Bit Blaster XL,"Jan 22, 2016",0.99,5870,195,433950,200000,500000,3.0
Light,"Jul 14, 2014",12.99,197,143,271730,20000,50000,1.0
Ghostship Chronicles,"Nov 17, 2020",24.99,20,10,925010,0,20000,
Shipwreck Escape,"Jun 24, 2021",9.99,6,0,1638450,0,20000,
Azurael’s Circle: Chapter 5,"Jul 24, 2021",1.99,5,1,1682980,20000,50000,
Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,"Mar 14, 2014",5.99,514,176,286810,50000,100000,3.0
SLI-FI: 2D Planet Platformer,"Sep 21, 2020",6.99,28,0,668230,0,20000,
Monsters and Monocles,"Aug 16, 2016",14.99,78,22,328510,0,20000,
Granblue Fantasy: Versus,"Mar 13, 2020",19.99,4458,995,1090630,100000,200000,5.0
Maze And Dagger,"Jun 19, 2018",0.0,14,7,874690,0,20000,
Code 7: A Story-Driven Hacking Adventure,"Aug 11, 2017",5.99,99,5,650570,0,20000,
召唤与合体,"Dec 4, 2020",10.99,26,46,1451200,0,20000,
the fairytale of DEATH,"Jan 11, 2020",0.0,14,14,1054300,20000,50000,
Shoot!,"Feb 25, 2022",5.99,3,1,1756900,0,20000,
INSOMNIA: The Ark,"Sep 27, 2018",29.99,693,444,783170,50000,100000,68.0
The Legend: A University Story,"Jul 27, 2016",0.0,10,7,431360,0,20000,
Beach Body Bros,"Sep 25, 2019",0.0,30,3,1157920,0,20000,
DMT: Dynamic Music Tesseract,"Dec 14, 2018",3.99,158,17,648890,20000,50000,
The Dark Realm,"Mar 22, 2022",8.99,12,1,1918790,0,20000,
Mahjong Gold,"Dec 16, 2019",4.99,3,4,1166250,0,20000,
Pride Run,"Oct 11, 2019",14.99,27,8,848330,0,20000,
Finding Home,"Oct 28, 2021",14.99,4,3,1748340,0,20000,
ASPEN： Uncanny Home,"Apr 14, 2021",4.99,8,13,1566430,20000,50000,
Skin Stealers,"Apr 10, 2020",0.0,2,1,1212330,0,20000,
Tiger Tank 59 Ⅰ Air Strike,"Jun 4, 2019",0.0,1,3,1090540,0,20000,
Harvest Life,"Nov 10, 2017",14.99,124,122,649790,0,20000,
Depth,"Nov 3, 2014",19.99,28186,3913,274940,1000000,2000000,64.0
Locked Up,"Apr 23, 2020",12.99,600,139,1258590,20000,50000,2.0
Way of the Red,"Nov 16, 2016",3.99,29,3,491350,0,20000,3.0
Interrogation Files: Port Landsend,"Jun 18, 2020",6.99,59,6,1294230,0,20000,7.0
惊奇剑士,"Oct 28, 2020",6.99,35,12,1117930,0,20000,3.0
Faerie Solitaire Dire,"Sep 7, 2020",19.99,30,10,556530,0,20000,
The Impossible Travel Agency,"Sep 2, 2016",4.99,27,14,460990,20000,50000,
Automation Empire,"Nov 20, 2019",29.99,1573,764,1112790,100000,200000,
Super Poop,"Feb 6, 2018",0.99,17,16,767100,20000,50000,
International Tennis Open,"Nov 16, 2020",4.99,1,1,1454720,0,20000,
Chocolate makes you happy 5,"Apr 24, 2018",0.99,62,20,844160,0,20000,
HumanOrigin : Liu Lanzhi,"Jul 16, 2021",2.99,22,2,1507110,0,20000,
fishy,"Jan 17, 2020",2.99,134,24,1212100,0,20000,1.0
CCCP CALLS!,"May 22, 2018",0.99,107,94,857060,20000,50000,
随风而逝/Story About Times,"Feb 25, 2020",2.99,60,12,989430,0,20000,
Orbit Outlaws,"Nov 4, 2020",9.99,5,2,1319100,0,20000,
I Shall Remain,"Aug 24, 2015",9.99,105,47,293460,20000,50000,22.0
Faded Memories: Video Game Edition,"Nov 13, 2021",2.99,2,1,1794190,0,20000,
Function World Gym,"Jun 23, 2020",0.0,1,0,1052140,0,20000,
A.I-Mnemosyne 記憶女神,"May 31, 2020",1.69,7,1,1289120,0,20000,
Pets VR,"Feb 21, 2022",4.99,2,2,1399440,0,20000,
Journey to Alien Worlds,"Apr 27, 2017",3.99,7,0,628960,0,20000,
DOGE TO THE MOON,"May 7, 2022",6.99,18,3,1886450,0,20000,
Gaia Project,"May 31, 2021",24.99,162,60,1516400,0,20000,
Future Snooker,"Nov 15, 2019",8.99,3,1,1177390,0,20000,
Combo Jumper,"Oct 24, 2018",1.99,4,0,940320,0,20000,
Thats Life of Ralph,"Sep 13, 2021",1.99,16,1,1712420,0,20000,
KOTH,"Sep 1, 2016",1.74,12,1,493110,0,20000,
Fill and Cross Pirate Riddles,"Jul 6, 2021",4.99,3,6,1546380,0,20000,
Ghost Platoon,"May 24, 2018",1.49,8,12,789880,0,20000,
Cardsweeper,"Feb 2, 2020",3.99,1,0,1223200,0,20000,
Sealer Assist,"Jan 6, 2020",9.99,1,0,751920,0,20000,
Legends of Kingdom Rush,"Jul 14, 2022",14.99,298,180,1904860,50000,100000,
Parallels,"Nov 13, 2015",0.99,11,8,412370,0,20000,
Space Hulk,"Aug 15, 2013",0.0,1397,585,242570,200000,500000,10.0
Short Hop Laser,"Oct 6, 2021",0.99,3,0,1651750,0,20000,
Feudalia,"May 6, 2021",2.99,7,0,1550680,0,20000,
Haunted Hotel: Silent Waters Collector's Edition,"Jan 7, 2022",9.99,7,2,1825350,0,20000,
Island Raft Survival 2021: Ocean Escape,"Feb 12, 2021",2.99,14,17,1458460,0,20000,
Tour de France 2021,"Jun 3, 2021",39.99,67,20,1454050,0,20000,
アルティメットダンジョン「紅」,"May 16, 2020",0.0,13,2,1305690,0,20000,
Tombo Breaker VR,"Feb 27, 2018",9.99,1,8,778270,0,20000,
"""Going Up?""","Apr 19, 2020",0.99,2,0,1102740,0,20000,
Watch Out,"Sep 1, 2017",1.99,3,2,691860,0,20000,
Lethal League Blaze,"Oct 24, 2018",19.99,4976,168,553310,200000,500000,2.0
最末行程：胜利路19号,"Aug 23, 2021",8.99,25,5,1396450,0,20000,
The Agency of Anomalies: Mind Invasion Collector's Edition,"Feb 7, 2018",9.99,6,3,796050,0,20000,2.0
theHunter: Primal,"Mar 31, 2015",0.0,2320,1740,322920,100000,200000,20.0
Equestrian Training,"Jun 24, 2021",19.99,0,1,1631330,0,20000,
Garetto,"Feb 19, 2021",0.99,5,1,1545280,0,20000,
Trash is Fun,"Jul 5, 2022",4.99,10,1,1671310,0,20000,
Gravity Island,"Sep 21, 2016",5.99,10,2,420370,0,20000,
Divine Legacy,"Sep 11, 2020",0.0,4,1,1212710,0,20000,
Road Rage,"Nov 14, 2017",9.99,18,29,499210,0,20000,6.0
Sacred Fire: A Role Playing Game,"Oct 18, 2021",17.99,236,13,900400,50000,100000,
Offensive Combat: Redux!,"Aug 18, 2017",14.99,214,140,622170,50000,100000,
Defenders Glory,"Dec 6, 2021",9.99,12,2,1823940,0,20000,
BOX IT,"Jun 4, 2018",4.99,0,4,704940,0,20000,
Slash Roll,"Aug 26, 2020",2.99,6,2,1269540,0,20000,
Mystery Case Files: Black Crown Collector's Edition,"Nov 27, 2019",9.99,28,5,1196400,0,20000,5.0
Rolling in the Maze,"May 13, 2022",1.59,193,71,1899400,20000,50000,
Pixel Puzzles 2: Birds,"Feb 20, 2015",4.99,234,66,344230,100000,200000,11.0
Tawako The Forest Hedgehog,"Jul 4, 2022",2.99,2,0,2011080,0,20000,
"Love, Death & Veggies","Jan 6, 2022",6.99,26,0,1725620,0,20000,
Enchanted Kingdom: The Secret of the Golden Lamp Collector's Edition,"May 29, 2020",9.99,2,1,1336440,0,20000,
Ball Gun Arena,"Nov 26, 2021",9.99,1,0,1784840,0,20000,
Dyflexion,"Mar 9, 2022",8.99,3,0,1727440,0,20000,
Toodee and Topdee,"Aug 4, 2021",19.99,410,15,1303950,0,20000,7.0
Futuridium EP Deluxe,"Jan 7, 2016",9.99,16,6,352790,20000,50000,6.0
拯救大魔王2 Rescue the Great Demon 2,"Nov 18, 2016",0.0,340,113,554640,100000,200000,
Superstar Dance Club,"Aug 4, 2015",4.99,12,6,379390,0,20000,
Crystal Ortha,"Nov 5, 2020",14.99,5,1,1383400,20000,50000,
The Promised Land,"Apr 25, 2014",0.69,587,97,296240,20000,50000,8.0
Echoes of the Fey: The Fox's Trail,"Aug 16, 2016",7.99,17,4,511320,0,20000,
Train Simulator: NEC: New York-New Haven Route Add-On,"Apr 10, 2014",24.99,24,9,258643,20000,50000,
Golden8bits,"May 21, 2018",9.99,3,3,794230,0,20000,
Vietnam ‘65,"Mar 5, 2015",9.99,314,66,336080,20000,50000,4.0
SPACE ACCIDENT,"Feb 10, 2022",9.99,62,16,1852830,0,20000,
Pixross,"Dec 15, 2020",3.99,36,1,1489680,0,20000,
Hidden in Plain Sight,"Jul 16, 2014",5.99,433,5,303590,20000,50000,
Nami,"Oct 20, 2021",9.99,2,0,1572230,0,20000,
Blub Emporium,"Nov 17, 2021",16.99,32,2,1592530,0,20000,
You Shall Not Jump: PC Master Race Edition,"Jun 22, 2017",6.99,4,4,649000,0,20000,
Tower Attack,"Oct 16, 2021",1.99,1,0,1565800,20000,50000,
Reds Adventure A Seasons New Beginning,"Feb 4, 2022",1.99,3,0,1875850,0,20000,
Landmine Larry,"Dec 17, 2016",6.99,3,0,535240,0,20000,
Spartans Vs Zombies Defense,"Jan 6, 2015",0.0,337,397,340460,100000,200000,4.0
Bear Haven Nights,"Jan 29, 2016",4.99,42,7,434220,0,20000,
Tower of Fate,"Aug 13, 2019",5.99,21,10,957780,0,20000,
Phantasmagoria,"Aug 29, 2016",6.49,292,46,501990,100000,200000,6.0
Surfingers,"Jan 27, 2016",0.51,462,119,438080,100000,200000,1.0
Super Helmets on Fire DX Ultra Edition Plus Alpha,"Feb 15, 2016",0.0,29,18,429200,0,20000,
Star Merchant,"Mar 7, 2017",0.99,51,33,594720,50000,100000,
Pier Pressure,"Nov 13, 2020",4.99,21,2,1386160,0,20000,
Stationeers,"Dec 12, 2017",29.99,3751,729,544550,200000,500000,
Hydra Slayer,"Mar 24, 2016",5.99,37,2,432380,50000,100000,
GrabBag,"Aug 14, 2018",1.99,5,2,895890,0,20000,
Tales of the Lumminai,"Dec 8, 2017",0.69,6,7,610560,20000,50000,
Vortex Escape,"Nov 24, 2020",3.99,1,2,1447020,20000,50000,
SCP-087 VR Survivor,"Jan 28, 2019",14.99,8,3,808220,0,20000,
Goblet Cave,"Jan 27, 2020",2.99,15,3,1228680,0,20000,
Nofrills Solitaire,"Jun 24, 2020",1.99,10,0,1342270,0,20000,
Jambo,"Jan 24, 2018",0.99,0,2,777860,20000,50000,1.0
OMG Zombies!,"Feb 13, 2014",4.99,301,71,259870,100000,200000,8.0
Powerless,"Dec 18, 2018",4.99,0,1,984150,0,20000,
Born Tubi Wild,"Dec 11, 2017",2.99,9,0,756150,0,20000,
Project Pulsation,"Dec 15, 2015",4.99,68,100,424000,50000,100000,
Sweet Tooth 2,"Sep 7, 2020",3.99,0,2,1400380,0,20000,
Rocksmith® 2014 Edition - Remastered,"Oct 4, 2016",29.99,17926,1582,221680,500000,1000000,
Adorable Witch,"Jun 16, 2021",1.99,1256,128,1605010,50000,100000,
Ryan's Rescue Squad,"Mar 4, 2022",39.99,3,2,1596940,0,20000,
Dark Data,"Sep 5, 2019",19.99,23,1,996000,50000,100000,
Roads of Rome: New Generation,"Dec 5, 2017",4.99,27,7,573760,0,20000,
Pursuer,"Mar 11, 2019",13.99,7,5,1013660,0,20000,
Kiteboarding Pro,"Dec 8, 2021",9.99,6,1,1629300,0,20000,
The Emerald Tablet,"Dec 16, 2019",19.99,13,7,289060,0,20000,
The Absolutely Hilarious Cat Game,"Jul 9, 2021",1.99,11,2,1673840,0,20000,
Erophone,"Apr 26, 2021",4.99,1831,450,1506280,100000,200000,1.0
RoboTraps,"Jun 20, 2017",2.79,5,0,644400,0,20000,
Rolling Car,"Jul 20, 2021",12.99,11,5,1682600,0,20000,
OpenTTD,"Apr 1, 2021",0.0,7022,291,1536610,1000000,2000000,10.0
Water Ball,"May 16, 2021",9.99,10,5,1622090,20000,50000,
Miriel Saga,"Aug 2, 2021",14.99,5,1,1148710,0,20000,
CasinoLife Poker - #1 Free Texas Holdem 3D,"Aug 5, 2020",0.0,68,36,1285210,0,20000,
Love Alchemy: A Heart In Winter,"Mar 11, 2019",6.99,24,24,1038650,0,20000,2.0
火柴人和七色彩虹 Stickman's Rainbow,"Apr 17, 2019",0.99,3,0,1050690,0,20000,
RDS - The Official Drift Videogame,"Jun 6, 2019",17.99,868,218,934930,50000,100000,
MyHoriZen,"Sep 14, 2021",9.99,1,0,1657550,0,20000,
To the Core,"Jul 23, 2018",0.0,155,78,874030,50000,100000,1.0
Mystery Hotel - Hidden Object Detective Game,"Oct 16, 2020",4.99,35,10,1356530,0,20000,1.0
Nicolas Eymerich The Inquisitor Book II : The Village,"Jan 22, 2015",9.99,20,14,297070,0,20000,8.0
Reficul VR,"May 9, 2018",19.99,18,10,698110,0,20000,
In The Dead Of Night - Urszula's Revenge,"Dec 18, 2015",4.99,4,4,416430,0,20000,
Lil' Arena,"Nov 16, 2018",0.0,28,17,945610,20000,50000,
River City Ransom: Underground,"Feb 27, 2017",19.99,1731,565,422810,50000,100000,9.0
Butterbies,"Jan 18, 2019",0.0,4,2,682160,0,20000,
Hero's Song™,"Nov 7, 2016",0.0,114,75,413110,0,20000,
A Story Beside,"May 24, 2022",14.99,158,3,634410,0,20000,
Abst Clicker Farm,"Feb 11, 2020",0.99,1,11,1235480,0,20000,
Caverns: Lost Sky,"Jan 31, 2019",19.99,3,2,863150,0,20000,
Slender: The Arrival,"Oct 28, 2013",9.99,6298,853,252330,200000,500000,2.0
Stardrift Nomads,"Apr 7, 2017",9.99,9,0,381250,0,20000,
Before Dark,"Oct 21, 2020",2.99,2,0,1440370,0,20000,
Mushroom Men: Truffle Trouble,"Mar 10, 2015",2.99,25,16,222180,0,20000,6.0
Super Pixel Smash,"Jan 25, 2017",7.99,11,1,578610,0,20000,
JUST DASH,"Aug 18, 2018",1.49,19,12,891350,0,20000,
Justice.exe,"Jul 21, 2022",9.59,30,3,1291210,0,20000,
Jetborne Racing,"May 27, 2021",4.99,361,32,1397650,20000,50000,
Save The Cookie,"Oct 30, 2018",0.99,6,1,895650,0,20000,
Travel Riddles: Trip To India,"Mar 10, 2017",9.99,18,2,604980,0,20000,
Oniris Basket VR,"Sep 17, 2016",3.99,5,0,516900,0,20000,
Salvaged,"Nov 17, 2016",12.99,6,8,504470,0,20000,
HERADÔNIA Director's cut,"Jan 5, 2022",1.99,1,3,1756750,0,20000,
Call of Duty®: Modern Warfare® Remastered,"Jul 27, 2017",19.99,4304,2361,393080,500000,1000000,6.0
Them Bombs,"Jul 10, 2019",10.99,17,0,806900,0,20000,
The Ancient Art of War in the Skies,"Jan 20, 2022",6.99,4,0,1704640,20000,50000,
My Name is Mayo 3,"May 17, 2022",1.99,64,1,1779460,0,20000,
Ritual: Sorcerer Angel,"Jun 14, 2019",9.99,22,2,1063960,0,20000,1.0
CubeHub,"Dec 30, 2019",0.99,3,0,1184590,20000,50000,
Surviving Medieval,"Feb 4, 2020",4.99,19,12,1082770,0,20000,
ThunderWheels,"Nov 2, 2017",8.99,44,11,296790,20000,50000,
Cosmic Cavern 3671　　宇宙最大の地底最大の作戦,"Jul 14, 2016",4.99,12,5,496980,0,20000,
Koral,"May 16, 2019",2.99,258,44,896750,0,20000,2.0
AccidentHouse,"Dec 21, 2020",0.99,56,16,1351290,0,20000,
SiegeVR,"Mar 20, 2018",4.99,9,2,690310,0,20000,
Chroma Lab,"Aug 22, 2017",4.99,295,10,587470,20000,50000,
Bahamian Rhapsody,"Dec 4, 2020",4.99,11,7,1471940,0,20000,
HuniePop,"Jan 19, 2015",9.99,26390,1002,339800,1000000,2000000,9.0
End of Panduora,"Jun 25, 2020",8.99,1,1,1302200,0,20000,
Analytical World,"Feb 19, 2021",1.99,3,0,1539150,0,20000,
Ultimate Epic Battle Simulator 2,"May 12, 2022",19.99,1692,206,1468720,100000,200000,
Fog of War,"Jun 18, 2018",4.99,383,407,574080,50000,100000,
Useless Box: The Game,"Nov 6, 2019",2.99,3,0,1176800,0,20000,
"You, Calligrapher","Oct 24, 2021",11.04,37,0,1593700,0,20000,
ANIME Street Fight,"Mar 6, 2021",1.99,10,7,1476420,0,20000,
Narborion Saga,"Mar 20, 2017",2.99,10,11,581340,0,20000,
Christmas Wonderland 3,"Jan 6, 2022",6.99,0,1,1803460,0,20000,
Fission Superstar X,"May 21, 2019",14.99,116,18,793680,0,20000,
What Remains of Edith Finch,"Apr 24, 2017",19.99,25897,1211,501300,500000,1000000,2.0
A Tale of Pirates: a Dummy Mutiny,"May 23, 2018",1.59,2,1,852570,0,20000,9.0
Dinkum,"Jul 14, 2022",19.99,2696,145,1062520,200000,500000,
Japanese Puzzle,"Jun 14, 2021",9.99,13,7,1651760,0,20000,
Coloring Game: Little City,"Aug 16, 2019",0.0,882,54,1132190,100000,200000,7.0
Achtung! Cthulhu Tactics,"Oct 4, 2018",24.99,131,57,874460,0,20000,12.0
Elementite,"Jan 18, 2022",24.99,7,5,1503180,20000,50000,
Hookshot,"Feb 25, 2019",1.99,10,8,1031570,0,20000,
Darker : Episode I,"Apr 30, 2021",0.99,1,3,1543810,0,20000,
Pro 11 - Football Manager Game,"Feb 13, 2020",0.0,144,53,844960,50000,100000,
Collision Course,"Jan 7, 2017",9.99,190,60,555400,20000,50000,1.0
Woodfel,"Apr 30, 2021",9.99,13,3,985240,0,20000,
Pythagorean Complex,"Feb 5, 2020",0.0,1,1,1069960,0,20000,
Ashes of the Singularity: Escalation,"Nov 10, 2016",29.99,3183,1004,507490,200000,500000,17.0
Samurai Wish,"Sep 12, 2018",4.99,11,4,877040,0,20000,
Shiba Inu Rescue,"May 21, 2021",4.99,2,0,1583660,0,20000,
Problem Animals,"Dec 29, 2021",4.99,4,3,1841600,0,20000,
Alien Destroyer,"Jul 30, 2021",1.99,5,3,1697420,0,20000,
The Void of Desires,"Oct 7, 2019",2.99,6,2,1152230,0,20000,
Dead Days,"Mar 31, 2017",0.74,12,1,613200,0,20000,9.0
DDS(D.I.Y Drone Simulator) Demo,"Mar 18, 2018",0.0,3,9,813200,0,20000,
雨上がりのハナビィ Ameagari no Hanaby,"Sep 22, 2018",13.99,62,2,888990,0,20000,
Portal Mortal,"Apr 1, 2022",9.99,9,0,1486790,0,20000,
Magic defense 2: The Return of the Legend,"Aug 25, 2021",9.99,0,4,1721130,0,20000,
Food Girls - Bubbles' Drink Stand,"Jul 18, 2022",10.49,83,20,1211960,0,20000,
Blaze,"Jan 4, 2021",0.0,2,2,1287940,0,20000,
Where's Baby,"Apr 2, 2019",2.99,5,0,895610,0,20000,
huts,"Jan 17, 2020",2.99,3,4,1135140,0,20000,1.0
Lavapools - Arcade Frenzy,"May 4, 2016",4.99,16,1,401510,0,20000,
NASCAR Heat 2,"Sep 12, 2017",12.99,244,129,670900,20000,50000,5.0
Robert: Space Stories and Battles,"Mar 8, 2022",1.99,14,0,1874010,50000,100000,
Hyperspace Delivery Service,"Jun 5, 2019",9.99,36,4,876320,0,20000,
Planet Bounce,"Jan 6, 2020",0.0,25,11,1207770,0,20000,
7th Legion,"Oct 23, 2014",1.39,43,35,327910,0,20000,
The Age of Navigation,"Feb 9, 2022",5.99,63,44,1856680,0,20000,
Beastie Land,"Feb 27, 2022",6.99,6,1,1487900,0,20000,
Ghosts 'n Goblins Resurrection,"May 31, 2021",29.99,478,84,1375400,20000,50000,6.0
Andor - Wrecking Dawn,"Apr 14, 2021",0.0,71,27,867420,0,20000,
BATTLLOON - バトルーン,"Feb 27, 2019",6.99,15,6,985800,0,20000,
Waterpark Simulator,"Feb 1, 2021",0.99,10,10,1362910,0,20000,
Polarities,"May 8, 2020",3.99,1,0,1280980,0,20000,
Something To Do With Love,"Jul 3, 2019",19.99,26,14,603730,0,20000,
Damascus Gear Operation Tokyo HD,"Aug 8, 2017",14.99,12,16,648630,0,20000,14.0
Epic Pirate,"Mar 25, 2022",0.99,5,3,1934340,0,20000,
Jump/Die/Live,"Jun 23, 2021",4.99,2,1,1545040,0,20000,
懒人修仙传,"Nov 14, 2018",3.99,753,489,892420,200000,500000,
Unoccupied,"May 28, 2022",0.0,15,12,1266120,0,20000,
Lost in Space,"Sep 7, 2021",3.99,15,16,1731940,0,20000,
PataNoir,"Jun 1, 2016",6.99,12,2,449150,0,20000,
Trickster VR: Horde Attack!,"Jun 21, 2019",0.0,38,16,1098150,20000,50000,
Animal Drop Safari,"Feb 24, 2021",6.29,9,0,1541530,0,20000,
Without Within 3 (初衷),"May 3, 2018",4.99,58,2,676130,0,20000,
Shmup Arena,"May 17, 2020",1.99,19,0,1205540,0,20000,
Firestone Idle RPG,"Sep 26, 2019",0.0,3437,874,1013320,500000,1000000,
Welcome to Moreytown,"May 5, 2017",3.99,35,8,625990,0,20000,
Juan v Juan,"Aug 2, 2018",4.99,17,4,880860,0,20000,
LOST ORBIT: Terminal Velocity,"Jul 16, 2019",9.99,23,2,372320,0,20000,3.0
Baseball Mogul Diamond,"Aug 9, 2016",11.99,34,10,507080,0,20000,1.0
"Frick, Inc.","Dec 18, 2020",3.99,4,0,1491720,0,20000,
Einsteins Riddle,"Jun 1, 2020",1.99,2,2,1313400,0,20000,
Cock Soccer,"Feb 2, 2022",14.99,7,0,1251250,0,20000,
Stereo Aereo,"Dec 14, 2016",3.99,28,5,535890,0,20000,2.0
Hex Commander: Fantasy Heroes,"Dec 22, 2017",0.0,187,60,741590,50000,100000,
Classic Racers,"Mar 26, 2019",0.0,339,43,1037480,20000,50000,
Killing random dudes online,"Oct 17, 2018",0.5,2,3,949170,0,20000,
Bonds,"Nov 1, 2018",5.99,88,3,955400,0,20000,1.0
Rhythmic Keyboard,"May 6, 2022",9.99,1,0,1960320,0,20000,
LEGO® Pirates of the Caribbean: The Video Game,"Oct 6, 2014",19.99,2708,280,311770,200000,500000,8.0
Mystery Trackers: Queen of Hearts Collector's Edition,"Dec 13, 2021",9.99,2,2,1846300,0,20000,5.0
Road 96 🛣️,"Aug 16, 2021",19.96,8618,776,1466640,1000000,2000000,7.0
VERGJORN,"Jun 25, 2020",0.0,13,8,1319430,0,20000,
Wish World,"May 11, 2022",5.99,2,0,1667440,0,20000,
Network E.L.E.,"Mar 12, 2020",15.99,1,2,1217630,0,20000,
Dream Quest,"Dec 8, 2016",9.99,236,25,557410,0,20000,13.0
Jingo,"Apr 6, 2018",9.99,1,1,731690,0,20000,
Hostile User Interface,"Dec 15, 2018",1.99,14,0,984540,0,20000,
Last Soul,"Jun 9, 2021",1.99,1,1,1629380,0,20000,
Jetscout: Mystery of the Valunians,"Dec 16, 2020",4.99,15,0,1395410,0,20000,
Hero Battle,"Apr 28, 2016",6.99,98,54,463000,50000,100000,
Despot's Game: Dystopian Army Builder,"Oct 14, 2021",14.99,1502,225,1227280,50000,100000,9.0
Watashi no Kokoro!  君の事が好きです。,"Aug 5, 2021",1.99,3,3,1700450,0,20000,
Fight Me Bro!,"Jan 20, 2017",1.99,4,0,533630,0,20000,
EquiMagic - Galashow of Horses,"Dec 19, 2017",9.99,14,5,664250,0,20000,
Killstreak,"Oct 14, 2020",7.99,0,2,1378320,0,20000,
Seven Red Lines,"Jan 12, 2020",2.99,4,1,1023110,0,20000,
Mazes and Mages 2,"Sep 13, 2019",0.0,3,2,1127350,0,20000,
Starbear: Taxi,"May 3, 2018",1.99,30,6,702030,0,20000,
Urbance Clans Card Battle!,"Oct 3, 2018",4.99,6,5,872550,0,20000,
Lab 03 Yrinth,"Nov 17, 2017",1.99,6,16,742010,0,20000,
Epic Loon,"Jul 12, 2018",9.99,32,3,762190,0,20000,
Knights of Pen and Paper +1 Edition,"Jun 18, 2013",9.99,2557,495,231740,200000,500000,13.0
Caribbean Jigsaw,"Mar 15, 2021",4.99,8,1,1545350,0,20000,
NAIR,"Sep 14, 2021",2.99,62,3,1715850,0,20000,
Ready or Not,"Dec 17, 2021",39.99,55714,4487,1144200,1000000,2000000,8.0
Shadow of the Tomb Raider: Definitive Edition,"Sep 14, 2018",0.0,12734,4710,849177,0,20000,
Smash Track Drifters,"Mar 6, 2021",5.99,2,3,1455540,0,20000,
Voxel Bot,"Jun 11, 2019",1.99,14,1,1095370,0,20000,
AereA,"Jun 2, 2017",14.99,26,28,573660,0,20000,12.0
Martial Law,"May 26, 2015",0.0,7,15,346150,0,20000,1.0
九霄缳神记 JIU XIAO,"Apr 14, 2020",19.99,285,194,1096300,20000,50000,
Oneironaut,"Sep 18, 2019",0.0,14,8,1072890,0,20000,
